,Unnamed: 0,TIMESTAMP,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
0,4863,1/11/2013 0:00,26.85,47420,7.97,99.8,6.71,4.3,3.5
4,4867,1/11/2013 2:00,26.75,44560,7.92,93.3,6.35,4.6,3.8
8,4871,1/11/2013 4:00,26.78,42390,7.88,88.7,6.09,4.5,3.7
12,4875,1/11/2013 6:00,26.66,42290,7.87,87.6,6.03,4,3
16,4879,1/11/2013 8:00,26.13,47790,7.94,93.2,6.33,4.9,3.5
20,4883,1/11/2013 10:00,25.93,50160,7.96,95.7,6.46,4.5,2.9
24,4887,1/11/2013 12:00,26.36,47780,7.97,100.7,6.82,4.2,3
28,4891,1/11/2013 14:00,26.84,45370,7.97,105.8,7.17,4.8,3.1
32,4895,1/11/2013 16:00,27.39,42910,7.96,109,7.39,4.9,3.5
36,4899,1/11/2013 18:00,27.11,42920,7.95,106,7.23,4.5,4
40,4903,1/11/2013 20:00,26.41,47990,8,105.6,7.13,6.3,3.3
44,4907,1/11/2013 22:00,25.92,50250,8,102.3,6.9,4.4,2.7
48,4911,2/11/2013 0:00,26.02,47730,7.98,100.4,6.83,4.2,3
52,4915,2/11/2013 2:00,25.89,44860,7.94,94.4,6.51,4.2,3.1
56,4919,2/11/2013 4:00,25.96,42630,7.89,90.3,6.28,4.5,3.7
60,4923,2/11/2013 6:00,25.81,41540,7.86,78,5.47,4.6,2.9
64,4927,2/11/2013 8:00,25.34,46270,7.93,91.8,6.36,5.5,2.9
68,4931,2/11/2013 10:00,25.35,50500,7.97,97.4,6.63,5.2,1.8
72,4935,2/11/2013 12:00,26.21,48690,7.99,103.6,7,4.2,2.5
76,4939,2/11/2013 14:00,26.9,46510,7.98,108.5,7.32,5.1,2.3
80,4943,2/11/2013 16:00,27.1,43830,7.96,107.1,7.27,5,3.4
84,4947,2/11/2013 18:00,27.04,42170,7.94,104.2,7.13,4.8,3.1
88,4951,2/11/2013 20:00,26.57,45760,7.96,102.8,6.99,6.2,3.4
92,4955,2/11/2013 22:00,26.28,49750,7.99,104.3,7.01,5.3,3.3
96,4959,3/11/2013 0:00,26.18,47630,7.98,101.1,6.86,4,3.1
100,4963,3/11/2013 2:00,26,45340,7.93,95,6.54,4.2,3.2
104,4967,3/11/2013 4:00,25.86,42940,7.89,90,6.27,4.3,2.7
108,4971,3/11/2013 6:00,25.67,41370,7.86,87.2,6.12,4.4,3.6
112,4975,3/11/2013 8:00,25.56,44190,7.89,89.6,6.23,5.3,3.7
116,4979,3/11/2013 10:00,25.77,49810,7.96,97.2,6.59,6,3.1
120,4983,3/11/2013 12:00,26.34,49760,7.98,102.4,6.87,4.3,2.8
124,4987,3/11/2013 14:00,27.12,47700,7.98,109,7.29,4.5,2.4
128,4991,3/11/2013 16:00,27.5,44830,7.96,109.8,7.38,4.5,2.8
132,4995,3/11/2013 18:00,27.3,42660,7.94,106.4,7.24,4.9,3.4
136,4999,3/11/2013 20:00,27,43630,7.93,102.1,6.95,4.6,3.7
140,5003,3/11/2013 22:00,26.73,48480,7.97,104.3,6.99,5.8,3.4
144,5007,4/11/2013 0:00,26.54,48300,7.97,101.8,6.86,4,3.2
148,5011,4/11/2013 2:00,26.29,46050,7.93,95.2,6.49,3.9,2.9
152,5015,4/11/2013 4:00,26.19,43550,7.88,89.7,6.19,4.1,3.5
156,5019,4/11/2013 6:00,25.99,41680,7.85,86.4,6.03,4.4,3.5
160,5023,4/11/2013 8:00,26.13,42220,7.86,88.4,6.14,4,3
164,5027,4/11/2013 10:00,26.27,48550,7.94,97.5,6.59,7.9,3
168,5031,4/11/2013 12:00,26.55,51270,7.97,100.6,6.69,5.5,2.2
172,5035,4/11/2013 14:00,27.32,49110,7.98,108.4,7.18,5,2.9
176,5039,4/11/2013 16:00,27.84,46560,7.97,111.7,7.41,5.3,3.3
180,5043,4/11/2013 18:00,27.81,43990,7.94,107.4,7.2,5.7,4
184,5047,4/11/2013 20:00,27.41,43100,7.9,99.6,6.75,6,4
188,5051,4/11/2013 22:00,27,46870,7.94,100.1,6.72,5.9,3.4
192,5055,5/11/2013 0:00,26.9,48970,7.96,101.6,6.78,5,3.8
196,5059,5/11/2013 2:00,26.64,46630,7.93,95.9,6.49,4.5,3.4
200,5063,5/11/2013 4:00,26.49,44150,7.87,90.2,6.18,4.6,2.9
204,5067,5/11/2013 6:00,26.35,42180,7.84,86.8,6.01,5,3.5
208,5071,5/11/2013 8:00,26.25,41600,7.82,85.7,5.96,5.5,3.7
212,5075,5/11/2013 10:00,26.03,46500,7.91,94.4,6.45,7.7,3.8
216,5079,5/11/2013 12:00,25.99,51650,7.95,97.2,6.51,8.3,3.8
220,5083,5/11/2013 14:00,26.41,50600,7.97,102.1,6.82,5.1,3.6
224,5087,5/11/2013 16:00,26.54,48570,7.97,103.6,6.97,6.4,4
228,5091,5/11/2013 18:00,26.45,45560,7.94,102.4,6.98,5.8,4.2
232,5095,5/11/2013 20:00,26.14,43670,7.89,96.3,6.65,6,4.2
236,5099,5/11/2013 22:00,25.97,45210,7.9,95.2,6.55,6.6,3.7
240,5103,6/11/2013 0:00,25.51,49290,7.95,96.2,6.56,7.4,3.4
244,5107,6/11/2013 2:00,25.18,47100,7.92,92.4,6.4,4.4,3.9
248,5111,6/11/2013 4:00,25.32,44850,7.87,88.4,6.17,4.8,3.1
252,5115,6/11/2013 6:00,25.1,42540,7.83,84.4,5.96,4.5,3.4
256,5119,6/11/2013 8:00,25.25,41400,7.8,84.2,5.96,5.6,4.3
260,5123,6/11/2013 10:00,25.62,44300,7.89,95.6,6.64,6.3,2.7
264,5127,6/11/2013 12:00,25.46,50580,7.95,97.7,6.64,11.5,3.5
